"id","operator_control_number","difficulty_date","submission_date","operator_designator_id","submitter_designator_id","submitter_type_code","receiving_region_code","receiving_district_office","sdr_type","nature_condition_a","nature_condition_b","nature_condition_c","precautionary_proc_a","precautionary_proc_b","precautionary_proc_c","precautionary_proc_d","stage_of_operation","how_discovered","discrepancy","aircraft_id","operator_id","jasc_code","engine_make","engine_model","engine_serial_number","engine_total_time","engine_total_cycles","propeller_make","propeller_model","propeller_serial_number","propeller_total_time","propeller_total_cycles","part_make","part_name","part_number","part_serial_number","part_condition","part_location","part_total_time","part_total_cycles","part_time_since","part_since_code","component_make","component_model","component_name","component_part_number","component_serial_number","component_location","component_total_time","component_total_cycles","component_time_since","component_since_code","fuselage_station_from","fuselage_station_to","stringer_from","stringer_from_side","stringer_to","stringer_to_side","wing_station_from","wing_station_from_side","wing_station_to","wing_station_to_side","butt_line_from","butt_line_from_side","butt_line_to","butt_line_to_side","water_line_from","water_line_to","crack_length","number_of_cracks","corrosion_level","structural_other","aog_flag","severity","emer_flag","divert_flag","fail_flag","fault_flag","inter_flag","fire_flag","leak_flag","press_flag","elec_flag","fuel_flag","hyd_flag","flightctrl_flag","struct_flag","mel_flag","failed_part","jasc_code_description","ata_chapter","ata_chapter_description"
5794,"AALA202401177239","2024-01-16","2024-01-17",7,7,"A","SW","23","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: AFT LEFT HAND LAVATORY DIFFICULT TO LOCK AND UNLOCK. LUBED DOOR LOCK. OPERATIONAL CHECK GOOD.",126,7,"5250","","","","","","","","","","","","DOOR LATCH","UNKNOWN","","LACK OF LUBE","ZONE 900 - LAV/G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","latch","FIXED INNER DOORS",52,"Doors"
5912,"AALA202401092956","2024-01-07","2024-01-09",7,7,"A","SW","23","A","O","","","K","","","","NR","C","AIRCRAFT WAS NOT GROUNDED: AFT MEGAPHONE NO AUDIBLE CLICK. REMOVED AND REPLACED BATTERIES IN AFT MEGAPHONE. PER AMM 25-64-00.",530,7,"2560","","","","","","","","","","","","BATTERY","UNKNOWN","","INOPERATIVE","MEGAPHONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","battery","EMERGENCY EQUIPMENT",25,"Equipment / Furnishings"
6018,"AALA202401183184","2024-01-17","2024-01-18",7,7,"A","SW","23","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: LAVATORY D DIFFICULT TO LOCK AND UNLOCK.**SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN).",1158,7,"5250","","","","","","","","","","","","LOCK","UNKNOWN","","UNKNOWN","LAVATORY DOOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","FIXED INNER DOORS",52,"Doors"
10450,"AALA202408093391","2024-08-08","2024-08-09",7,7,"A","SW","21","A","O","","","O","","","","NR","O","AIRCRAFT WAS GROUNDED: LOWER EXIT SIGN AT DOOR 1L IS MISSING. REPLACED EXIT SIGN. PER 33-51-01.",563,7,"3350","","","","","","","","","","","","SIGN","","","MISSING","ZONE 200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,3,"","","",1,"","","","","","","","","","","door","EMERGENCY LIGHTING",33,"Lights"
24983,"AALA202502141457","2025-02-13","2025-02-14",7,7,"A","SW","21","A","B","","","K","","","","IN","O","AIRCRAFT WAS GROUNDED: FIRST CLASS GALLEY NUMBER 1 OVEN, HAS A BURNING SMELL DURING OPERATION. (OPEN).",1084,7,"2530","","","","","","","","","","","","OVEN","","","ODOR","ZONE 900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",1,"","","","","","","",1,"CND","BUFFET/GALLEYS",25,"Equipment / Furnishings"
17960,"AALA202511064811","2025-11-05","2025-11-06",7,7,"A","SW","21","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: LAVATORY-D DOOR VERY DIFFICULT TO OPEN IN FLIGHT. (OPEN).",713,7,"5250","","","","","","","","","","","","DOOR","","","STIFF","ZONE 800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","FIXED INNER DOORS",52,"Doors"
15822,"AALA202412165687","2024-12-14","2024-12-16",7,7,"A","SW","21","A","O","","","K","","","","NR","V","AIRCRAFT WAS NOT GROUNDED: LAV D BIFOLD DOOR VERY DIFFICULT TO OPEN. READJUSTED LAV D FOLDING DOOR.",758,7,"5250","","","","","","","","","","","","DOOR","","","STUCK","ZONE 800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
19768,"AALA202404297451","2024-04-27","2024-04-29",7,7,"A","SW","21","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: AFT LAVATORY-D DOOR STUCK IN CLOSED POSITION. (OPEN).",493,7,"5250","","","","","","","","","","","","DOOR","UNKNOWN","","STUCK","LAVATORY D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","",1,"","","CND","FIXED INNER DOORS",52,"Doors"
20024,"AALA202503284793","2025-03-27","2025-03-28",7,7,"A","SW","21","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: FORWARD LAVATORY DOOR LOCK IS BROKEN. REINSTALLED DOOR LOCK KNOB. PER AMM 25-40-10.",780,7,"5250","","","","","","","","","","","","KNOB","","","BROKEN","ZONE 800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
28324,"AALA202304033126","2023-03-30","2023-04-03",7,7,"A","SW","23","A","O","","","K","","","","IN","O","AIRCRAFT IN BASE MAINTENANCE: R2 GIRT BAR SLIDE CATCHES WHEN CLOSING. REMOVED AND CORRECTLY INSTALLED R2 GIRT BAR.",583,7,"2560","","","","","","","","","","","","GIRT BAR","","","STICKING","ZONE 800 - DOORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","other","EMERGENCY EQUIPMENT",25,"Equipment / Furnishings"
