door_part,broken,indication fault,inoperative,loose,loose / worn,misrigged,missing,not seated,other failure mode,pressure leak / airflow,sticking / binding
NOT YET FIXED,1.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,9.0
cargo door,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control rod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
door bushing,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
door heater,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
door sensor,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
door strike,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
door trim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exit sign,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
external power door,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
girt bar,2.0,2.0,0.0,4.0,0.0,2.0,9.0,1.0,8.0,0.0,8.0
guide arm,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,14.0,0.0,23.0
handle,2.0,18.0,0.0,1.0,0.0,8.0,2.0,0.0,9.0,0.0,6.0
hinge,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0
latch,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
lock,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0
manual extension door,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other door component,0.0,12.0,1.0,2.0,0.0,5.0,1.0,0.0,8.0,0.0,11.0
pressure seal,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
radius link,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
roller,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
sill drain,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
slide assembly,1.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,30.0,0.0,3.0
snubber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stop pin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
torque tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
track,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
