failure_mode,altitude warning,burning smell,cold air,fire,fumes,indication,loss of pressure,noise,odor,other,overheat,smoke,temperature failure
CND,0.0,15.0,1.0,0.0,2.0,2.0,3.0,0.0,32.0,2.0,1.0,12.0,0.0
acm,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
controller,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
fan,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0
filter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0
leak,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0
overheat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pack,0.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,24.0,1.0,9.0,4.0,3.0
pressure,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
relay,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
sensor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
valve,1.0,2.0,1.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,1.0,1.0,2.0
