"aircraft_serial_number","ata_chapter","ata_description","jasc_code","operator_control_number","failed_part","severity","jasc_description"
31261,33,"Lights","3350","AALA202310025290","other",1,"EMERGENCY LIGHTING"
31244,25,"Equipment / Furnishings","2560","AALA202304246094","CND",1,"EMERGENCY EQUIPMENT"
33344,52,"Doors","5250","AALA202310043123","door",0,"FIXED INNER DOORS"
30914,25,"Equipment / Furnishings","2530","AALA202402200046","CND",1,"BUFFET/GALLEYS"
33243,52,"Doors","5250","AALA202404014516","door",0,"FIXED INNER DOORS"
30088,52,"Doors","5250","AALA202505089770","CND",0,"FIXED INNER DOORS"
33222,33,"Lights","3350","AALA202403208349","other",1,"EMERGENCY LIGHTING"
33520,33,"Lights","3350","AALA202406058124","pack",1,"EMERGENCY LIGHTING"
29519,25,"Equipment / Furnishings","2560","AALA202505150184","CND",1,"EMERGENCY EQUIPMENT"
44487,52,"Doors","5250","AALA202401177239","latch",0,"FIXED INNER DOORS"
31178,25,"Equipment / Furnishings","2560","AALA202401092956","battery",1,"EMERGENCY EQUIPMENT"
33229,52,"Doors","5250","AALA202401183184","CND",0,"FIXED INNER DOORS"
44484,33,"Lights","3350","AALA202408093391","door",3,"EMERGENCY LIGHTING"
29567,25,"Equipment / Furnishings","2530","AALA202502141457","CND",1,"BUFFET/GALLEYS"
40763,52,"Doors","5250","AALA202511064811","CND",0,"FIXED INNER DOORS"
31277,52,"Doors","5250","AALA202412165687","door",0,"FIXED INNER DOORS"
33319,52,"Doors","5250","AALA202404297451","CND",0,"FIXED INNER DOORS"
33226,52,"Doors","5250","AALA202503284793","door",0,"FIXED INNER DOORS"
29512,25,"Equipment / Furnishings","2560","AALA202304033126","other",1,"EMERGENCY EQUIPMENT"
30085,25,"Equipment / Furnishings","2560","AALA202301301740","door",1,"EMERGENCY EQUIPMENT"
29545,52,"Doors","5210","AALA202505198726","CND",0,"PASSENGER/CREW DOORS"
31236,52,"Doors","5250","AALA202212124063","door",0,"FIXED INNER DOORS"
29562,52,"Doors","5250","AALA202211164512","CND",0,"FIXED INNER DOORS"
30097,52,"Doors","5250","AALA202211180154","door",0,"FIXED INNER DOORS"
29573,52,"Doors","5250","AALA202301035034","hinge",0,"FIXED INNER DOORS"
29568,25,"Equipment / Furnishings","2560","AALA202303061055","battery",1,"EMERGENCY EQUIPMENT"
29565,25,"Equipment / Furnishings","2560","AALA202307275795","battery",1,"EMERGENCY EQUIPMENT"
30087,52,"Doors","5250","AALA202304050078","latch",0,"FIXED INNER DOORS"
44471,53,"Fuselage","5320","AALA202303281542","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30092,52,"Doors","5250","AALA202312268280","door",0,"FIXED INNER DOORS"
29522,52,"Doors","5250","AALA202312264557","door",0,"FIXED INNER DOORS"
33340,52,"Doors","5250","AALA202310103997","CND",0,"FIXED INNER DOORS"
31075,52,"Doors","5250","AALA202402218747","door",0,"FIXED INNER DOORS"
29505,53,"Fuselage","5320","AALA202301188608","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44459,52,"Doors","5250","AALA202307056026","door",0,"FIXED INNER DOORS"
44446,52,"Doors","5250","AALA202501274837","latch",0,"FIXED INNER DOORS"
29513,33,"Lights","3350","AALA202307180239","CND",1,"EMERGENCY LIGHTING"
33314,25,"Equipment / Furnishings","2560","AALA202304282907","door",1,"EMERGENCY EQUIPMENT"
29507,51,"Standard Practices And Structures - General","5100","AALA202304284248","CND",0,"STANDARD PRACTICES/STRUCTURES"
29508,52,"Doors","5250","AALA202510168335","latch",0,"FIXED INNER DOORS"
33349,33,"Lights","3350","AALA202403059576","battery",3,"EMERGENCY LIGHTING"
33348,33,"Lights","3350","AALA202406119110","door",1,"EMERGENCY LIGHTING"
30084,33,"Lights","3350","AALA202302200700","CND",1,"EMERGENCY LIGHTING"
31077,52,"Doors","5250","AALA202303145585","latch",0,"FIXED INNER DOORS"
40584,52,"Doors","5250","AALA202303134203","door",0,"FIXED INNER DOORS"
29512,53,"Fuselage","5340","AALA202302064978","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
44458,52,"Doors","5250","AALA202301307718","door",0,"FIXED INNER DOORS"
30083,52,"Doors","5210","AALA202303168861","CND",3,"PASSENGER/CREW DOORS"
44471,53,"Fuselage","5320","AALA202306147859","CND",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44479,52,"Doors","5250","AALA202308030834","door",0,"FIXED INNER DOORS"
31176,25,"Equipment / Furnishings","2560","AALA202402072409","door",1,"EMERGENCY EQUIPMENT"
29570,52,"Doors","5250","AALA202301231422","latch",0,"FIXED INNER DOORS"
33486,33,"Lights","3350","AALA202302105091","other",1,"EMERGENCY LIGHTING"
31173,52,"Doors","5250","AALA202504229926","door",0,"FIXED INNER DOORS"
31202,52,"Doors","5250","AALA202504215525","door",0,"FIXED INNER DOORS"
29523,53,"Fuselage","5320","AALA202301114678","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29556,25,"Equipment / Furnishings","2560","AALA202301316462","door",1,"EMERGENCY EQUIPMENT"
30906,52,"Doors","5210","AALA202303157047","latch",0,"PASSENGER/CREW DOORS"
33211,33,"Lights","3350","AALA202407307521","CND",1,"EMERGENCY LIGHTING"
29546,25,"Equipment / Furnishings","2560","AALA202301095581","pack",1,"EMERGENCY EQUIPMENT"
44466,25,"Equipment / Furnishings","2560","AALA202303237301","door",1,"EMERGENCY EQUIPMENT"
29524,53,"Fuselage","5320","AALA202303082821","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33220,56,"Windows","5610","AALA202301257768","window",3,"FLIGHT COMPARTMENT WINDOWS"
29566,52,"Doors","5250","AALA202303067521","door",0,"FIXED INNER DOORS"
29569,52,"Doors","5250","AALA202401165407","door",0,"FIXED INNER DOORS"
