OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
AALA202402195153,2/18/2024 0:00:00,2/19/2024 14:30:12,AALA,AALA,A,SW,21,A,5250,O,,,K,,,,NR,O,959NN,BOEING,737823,33329,27906.0,11312.0,,,,,,,,,,,,DOOR,UNKNOWN,,OUT OF ADJUST,LT LAVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AORCRAFT WAS NOT GROUNDED: AFT LEFT LAVATORY DOOR REPORTED JAMMED CLOSED AND UNABLE TO OPEN. FOUND DOOR OFF CENTER ADJUSTED LEFT AFT DOOR. PER AMM 25-40-18.
AALA202402190519,2/15/2024 0:00:00,2/19/2024 14:57:51,AALA,AALA,A,SW,23,A,2560,O,,,K,,,,IN,V,906NN,BOEING,737823,31155,33113.0,14217.0,,,,,,,,,,,,TUBE,30VG0750RG2,,MISSING,GIRT BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: RED HEAT SHRINK FOR SLIDE REPLACEMENT ON GIRT BAR ASSEMBLY MISSING. REPLACED RED HEAT SHRINK TUBING. PER AARD 25-66-00-4**(CLOSED).
AALA202402088669,2/6/2024 0:00:00,2/8/2024 7:03:57,AALA,AALA,A,SW,23,A,5315,O,,,K,,,,IN,V,920AN,BOEING,737823,29521,60253.0,24619.0,,,,,,,,,,,BOEING,FLOORBEAM,UNKNOWN,,CORRODED,BS 948 LBL 24,,,,,,,,,,,,,,,947.5,,,,,,,,,,24,L,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON PASSENGER CABIN FLOOR BEAM UPPER CHORD AT BS 947.5, LBL 24. REMOVED, FABRICATED, AND INSTALLED CHORD PER SRM 51-40-02-0G."
SWAA2024030853374,2/18/2024 0:00:00,3/8/2024 15:43:44,SWAA,SWAA,A,SW,29,A,5414,O,,,K,,,,IN,9,8664J,BOEING,7378H4,36649,30055.0,14384.0,,,,,,,,,,,,ACCESS DOOR,UNKNOWN,,CRACKED,NR 1 NACELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 ENGINE I/B FAN COWL OIL SERVICE DOOR OPENING INNER SUPPORT PANEL IS CRACKED. MRKD<[01] REPLACED SUPPORT PANEL PER SRM 51-40-02& SRM 51-10-02.;[02] INSPECTION C/W
SWAA2024030855198,2/23/2024 0:00:00,3/8/2024 15:43:44,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8664J,BOEING,7378H4,36649,30055.0,14384.0,,,,,,,,,,,BOEING,INTERCOSTAL,UNKNOWN,,CRACKED,BS 540 RBL25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STA 540 @ RBL 24.82 INTERCOSTAL ASSY CRACKED.<[01] REMOVED AND REPLACED STA 540 @ RBL 24.82 INTERCOSTAL ASSY PER SRM 51-40-02.;[02] INSPECTION C/W
SWAA2024022352970,2/16/2024 0:00:00,2/23/2024 17:11:02,SWAA,SWAA,A,SW,29,A,3350,O,,,K,,,,IN,9,8625A,BOEING,7378H4,36896,33454.0,15850.0,,,,,,,,,,,,BATTERY,UNKNOWN,,INOPERATIVE,ZN 200 FUS TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LH OVERWING EMERGENCY EXIT LIGHTS INOP.<[01] REMOVED REPLACED AND OPS CHECKED BATTERY PER AMM 33-51-06;[02] INSPECTION C/W
SWAA2024021952238,2/15/2024 0:00:00,2/19/2024 16:57:20,SWAA,SWAA,A,SW,29,A,2560,O,,,K,,,,IN,9,8680C,BOEING,7378H4,36737,26870.0,13092.0,,,,,,,,,,,,HANDLE,UNKNOWN,,LOOSE,DOOR ASSIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASD ASSIST HANDLE IS LOOSE (ON DOOR)<[01] INSTALLED INTERRIOR ASSIST HANDLE AS PER AMM 52-41-31-400-802;[02] FINAL INSPECTION; VERIFIED STEP #1.
AALA202402299853,2/25/2024 0:00:00,2/29/2024 13:58:06,AALA,AALA,A,SW,21,A,2397,O,,,K,,,,IN,V,972AN,BOEING,737823,30097,63820.0,26785.0,,,,,,,,,,,BOEING,CONNECTOR,UNKNOWN,,CRACKED,ANTENNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,"AIRCRAFT IN BASE MAINTENANCE: PANEL 192F FORWARD AT ANTENNA CONNECTOR HAS A CRACKED. APPLIED COMPOSITE AND ALUMINUM MESH PERMANENT REPAIR ON KEEL BEAM ACCESS PANEL 192F OUTER SKIN. PER B737-NG SRM 53-40-70-2R-1, PER B737-NG SRM 51-70-05-2R-1 AND PER B737-NG SRM 51-70-14-2R-4. NO DEFECTS NOTED AT THIS TIME."
SWAA2024022249795,2/7/2024 0:00:00,2/22/2024 15:11:56,SWAA,SWAA,A,SW,29,A,3350,O,,,K,,,,IN,9,8315C,BOEING,7378H4,38811,37928.0,17729.0,,,,,,,,,,,,BATTERY PACK,UNKNOWN,,DEFECTIVE,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUND EMERGENCY BATTERY PACK AT POS. M1671 DEFECTIVE EMERGENCY LIGHT BATTERY PACK M1671 IS LOCATED AT STA 727C+13 WL 212 RBL 68.<[01] REMOVED AND REPLACED EMERGENCY LIGHT BATTERY PACK AT POS. M1671 AND PERFORMED TEST AS PER B737 AMM 33-51-06-960-805. TEST PASS.;[02] VERIFIED STEP 1.
SWAA2024030647560,2/1/2024 0:00:00,3/6/2024 16:26:12,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8565Z,BOEING,7378H4,42533,19940.0,10049.0,,,,,,,,,,,BOEING,ANGLE,UNKNOWN,,CORRODED,BS 500B-500C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWD CARGO; RH TRANS. ANGLE HAS CORROSION; STA. 500C TO 500B<[01] REMOVED CORROSION PER SRM 51-10-02. THE REMAINING THICKNESS IS OUT OF LIMIT PER SRM 53-00-53-1A-2 FIG 103 DETAIL E.;[02] FAULT IS RESOLVED ON FAULT ID # TTG8Q00RA85G;[03] VERIFIED CORRECTIVE ACTION #2
